[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run LocationTemplate Behavior [ RunTime:0.002387s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_template ] --END-- [ RunTime:0.002523s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ParseTemplate Behavior [ RunTime:0.017173s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017305s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ContentReplace Behavior [ RunTime:0.001216s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run TokenBuild Behavior [ RunTime:0.001191s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000977s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowRuntime Behavior [ RunTime:0.001244s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004872s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --START--
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Run ShowPageTrace Behavior [ RunTime:0.001135s ]
[ 2016-08-21T23:46:17+08:00 ] /testSkillMaster/index.php/Login/register | INFO: Tag[ view_end ] --END-- [ RunTime:0.001217s ]
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001724s ]
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001861s ]
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001488s ]
[ 2016-08-21T23:46:18+08:00 ] /testSkillMaster/index.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001588s ]
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Run CheckRoute Behavior [ RunTime:0.001644s ]
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001760s ]
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001339s ]
[ 2016-08-21T23:46:20+08:00 ] /testSkillMaster/index.php/Login/verify/0.6286714810373558 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001424s ]
